Day,Temperature
0,25.28228163822817
1,21.15794585996961
2,23.35770343034381
3,26.321275726628983
4,20.225679753610503
5,19.616285986097598
6,29.68645051759242
7,25.107517249128485
8,19.75173350096391
9,21.64232979480869
10,20.31769966720634
11,18.066550441533515
12,25.3603331030807
13,9.055223140531874
14,14.847338443765334
15,17.58438392072043
16,13.633008391098983
17,20.603464994867725
18,14.819185006005306
19,13.786813386127376
20,28.373914820678767
21,17.723718489690164
22,20.288931838917655
23,17.160799786156446
24,20.73317271757551
25,21.427260287897393
26,14.321039069224886
27,22.11855274516488
28,18.22384249586681
29,16.495946120636805
30,16.476713864006324
31,25.92422277478951
32,20.73096012152089
33,16.00583723462598
34,23.146351635917195
35,17.043755276724955
36,18.592786649019093
37,7.272899620181482
38,13.80797339262779
39,23.078502784569924
40,27.060188282892792
41,19.93907288021197
42,21.57912025492139
43,18.41746458305214
44,12.262135448281223
45,18.168098832999803
46,19.001451902027902
47,22.132826817126077
48,24.6711721472941
49,13.944981931481234
50,20.369294443954914
51,18.866195664793235
52,17.603450371035684
53,23.579728975852156
54,24.054387304788914
55,23.31315385970489
56,15.752804241903917
57,20.799396159262656
58,22.743517466206686
59,24.136496971439584
60,19.147526232070238
61,13.374619875420763
62,16.765856530714068
63,10.539539322040447
64,23.337747229164727
65,24.541860353601827
66,17.05058644065652
67,27.33931806421716
68,20.872777722614387
69,17.46740899043581
70,21.7131368697837
71,28.644264486776088
72,19.974513586570755
73,25.25723383069289
74,8.893808118445557
75,23.121999355553495
76,17.322071543871356
77,17.648732925738837
78,23.460323463946132
79,11.762598911222522
80,18.20433629199672
81,21.087047448921872
82,26.746200121272814
83,21.562144875753443
84,16.72140288999717
85,18.351298076459457
86,26.637577496574053
87,22.12133386635145
88,16.8331146895234
89,22.173637467396823
90,20.342185227912072
91,24.768780479644764
92,17.944993617887196
93,18.465581038625757
94,19.50473938877037
95,12.520992099122243
96,21.63787176595506
97,17.308874991835232
98,21.858222632617267
99,19.52004128492025
100,14.919166509467233
101,12.104262629785826
102,22.463176826927608
103,15.709434397581557
104,21.409937075144985
105,19.94044242982163
106,30.65647731617779
107,18.766057937811883
108,20.04021403222221
109,23.455833128902736
110,10.0247791219781
111,20.30229636911336
112,22.041286511082642
113,33.307574338371644
114,19.33903298638154
115,22.237658716600514
116,24.633272321950333
117,14.041372217835168
118,26.116312166005038
119,25.860973955449097
120,26.166211601131202
121,17.827123337147064
122,28.291431998738865
123,10.704734860577629
124,26.201148533603543
125,28.659587343012518
126,15.652589304824625
127,15.659959651947425
